CodigoNave,Viaje,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada
BESC,3141,CL,VARO,PE,CLLO,2022-11-09,2022-11-12
BESC,3141,PA,MANO,PE,CLLO,2022-10-30,2022-11-03
BESC,3149,CL,VARO,PE,CLLO,2023-01-04,2023-01-07
BESC,405,NL,RERM,PE,CLLO,2023-02-01,2023-02-23
BESC,405,JM,KGSN,PE,CLLO,2023-02-23,2023-03-04
BESC,405,PE,CLLO,JM,KGSN,2023-03-05,2023-03-23
BESC,4105,CL,VARO,PE,CLLO,2023-03-01,2023-03-04
BESC,4113,CL,VARO,PE,CLLO,2023-04-26,2023-04-29
BESC,4121,CA,TONO,PE,CLLO,2023-06-21,2023-06-25
BESC,4121,PE,CLLO,CA,TONO,2023-06-26,2023-07-10
BESC,4121,DE,HBUG,PE,CLLO,2023-05-31,2023-06-22
BESC,4121,PE,CLLO,DE,HBUG,2023-06-23,2023-07-17
BESC,4129,CL,VARO,PE,CLLO,2023-08-13,2023-08-19
BESC,4129,PE,CLLO,ES,BELA,2023-08-20,2023-09-22
BESC,413,NL,RERM,PE,CLLO,2023-03-29,2023-04-20
BESC,421,NL,RERM,PE,CLLO,2023-05-24,2023-06-15
BESC,429,NL,RERM,PE,CLLO,2023-07-19,2023-08-10
BESC,437,ES,VENA2,PE,CLLO,2023-09-11,2023-10-14
BESC,437,PE,CLLO,ES,VENA2,2023-10-15,2023-11-17
BESC,437,CL,VARO,PE,CLLO,2023-10-02,2023-10-05
BESC,437,PE,CLLO,CL,VARO,2023-10-06,2023-10-09
BESC,445,ES,BELA,PE,CLLO,2023-11-06,2023-12-09
BESC,445,PE,CLLO,ES,BELA,2023-12-10,2024-01-12
BESC,509,ES,VENA2,PE,CLLO,2024-03-04,2024-03-30
BESC,509,PE,CLLO,ES,VENA2,2024-03-31,2024-04-26
BESC,509,CL,VARO,PE,CLLO,2024-03-17,2024-03-21
BESC,509,PE,CLLO,CL,VARO,2024-03-22,2024-03-26
BESC,517,ES,VENA2,PE,CLLO,2024-04-27,2024-05-25
BESC,517,PE,CLLO,ES,VENA2,2024-05-26,2024-06-23
BESC,517,CL,VARO,PE,CLLO,2024-05-12,2024-05-16
BESC,525,CL,VARO,PE,CLLO,2024-07-07,2024-07-11
BESC,525,PE,CLLO,CL,VARO,2024-07-12,2024-07-16
BESC,3125,PA,MANO,PE,CLLO,2022-07-07,2022-07-13
BESC,3125,PE,CLLO,CL,VARO,2022-07-15,2022-07-19
BESC,3141,NL,RERM,PE,CLLO,2022-10-08,2022-11-04
BESC,333,DE,HBUG,PE,CLLO,2022-08-28,2022-09-17
BESC,333,PE,CLLO,DE,HBUG,2022-09-18,2022-10-08
BESC,852,PA,MANO,PE,CLLO,2022-07-19,2022-07-23
BESC,852,PE,CLLO,ES,BELA,2022-07-24,2022-08-21
BESC,852,PE,CLLO,NL,RERM,2022-07-24,2022-08-18
BESC,868,PA,MANO,PE,CLLO,2022-09-13,2022-09-17
BESC,868,PE,CLLO,NL,RERM,2022-09-18,2022-10-07
BESC,429,CL,VARO,PE,CLLO,2023-08-08,2023-08-09
BESC,429,PE,CLLO,CL,VARO,2023-08-10,2023-08-13
BONNY,1001,HK,HGKG,PE,CLLO,2023-03-20,2023-04-18
BOSC,3127,CL,VARO,PE,CLLO,2022-08-03,2022-08-06
BOSC,3151,BE,AWEP,PE,CLLO,2022-12-25,2023-01-12
BOSC,4115,BE,AWEP,PE,CLLO,2023-04-14,2023-05-04
BOSC,4123,DE,HBUG,PE,CLLO,2023-07-07,2023-07-08
BOSC,4123,PE,CLLO,DE,HBUG,2023-07-09,2023-08-09
BOSC,4131,AR,BSAS,CL,VARO,2023-08-12,2023-08-28
BOSC,4131,CL,VARO,PE,CLLO,2023-08-30,2023-09-02
BOSC,447,CL,VARO,PE,CLLO,2023-12-20,2023-12-23
BOSC,5111,CL,VARO,PE,CLLO,2024-04-10,2024-04-13
BOSC,5111,IT,GNOA,PA,MANO,2024-03-09,2024-03-31
BOSC,5111,PA,MANO,PE,CLLO,2024-03-31,2024-04-04
BOSC,519,CL,VARO,PE,CLLO,2024-06-05,2024-06-08
BOSC,1439,CL,VARO,PE,CLLO,2023-10-25,2023-10-28
BOSC,3134,NL,RERM,PE,CLLO,2022-10-28,2022-11-18
BOSC,3135,CL,VARO,PE,CLLO,2022-09-28,2022-10-01
BOSC,3143,CL,VARO,PE,CLLO,2022-11-23,2022-11-26
BOSC,3143,NL,RERM,PA,MANO,2022-10-22,2022-11-12
BOSC,3143,PA,MANO,PE,CLLO,2022-11-13,2022-11-17
BOSC,3151,CL,VARO,PE,CLLO,2023-01-18,2023-01-21
BOSC,407,NL,RERM,PE,CLLO,2023-02-15,2023-03-09
BOSC,407,DE,HBUG,PE,CLLO,2023-02-24,2023-03-18
BOSC,407,PE,CLLO,DE,HBUG,2023-03-19,2023-04-10
BOSC,4107,CL,VARO,PE,CLLO,2023-03-15,2023-03-18
BOSC,4107,NI,MAGA,PE,CLLO,2023-03-06,2023-03-18
BOSC,4107,PE,CLLO,NI,MAGA,2023-03-19,2023-04-18
BOSC,4115,CL,VARO,PE,CLLO,2023-05-10,2023-05-13
BOSC,4123,CL,VARO,PE,CLLO,2023-07-05,2023-07-08
BOSC,4123,PE,CLLO,CA,TONO,2023-07-11,2023-08-22
BOSC,4123,NL,RERM,PE,CLLO,2023-06-03,2023-06-29
BOSC,4131,DE,HBUG,PE,CLLO,2023-08-09,2023-09-02
BOSC,4131,PE,CLLO,DE,HBUG,2023-09-03,2023-09-27
BOSC,4139,DE,HBUG,PE,CLLO,2023-10-04,2023-10-28
BOSC,4139,PE,CLLO,DE,HBUG,2023-10-29,2023-11-22
BOSC,415,NL,RERM,PE,CLLO,2023-04-12,2023-05-04
BOSC,423,CL,VARO,PE,CLLO,2023-06-24,2023-06-28
BOSC,423,PE,CLLO,CL,VARO,2023-07-01,2023-07-06
BOSC,431,NL,RERM,PE,CLLO,2023-08-02,2023-08-24
BOSC,439,ES,BELA,PE,CLLO,2023-09-25,2023-10-28
