CodigoNave,Viaje,Rumbo,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada,ClaveCarga,ClaveDesCarga,CodigoPuertoCargaAntiguo,CodigoPuertoDesCargaAntiguo
SANRE,3139,S,PA,MANO,PE,CLLO,2022-10-16,2022-10-20,MIT|PA,CLL|PE,MIT,CLL
SANRE,3147,N,CL,VARO,PE,CLLO,2022-12-21,2022-12-24,VAP|CL,CLL|PE,VAP,CLL
SANRE,3147,S,NL,RERM,PA,MANO,2022-11-19,2022-12-10,RTM|NL,MIT|PA,RTM,MIT
SANRE,3147,S,PA,MANO,PE,CLLO,2022-12-11,2022-12-15,MIT|PA,CLL|PE,MIT,CLL
SANRE,339,N,DE,HBUG,PE,CLLO,2022-10-07,2022-10-31,HAM|DE,CLL|PE,HAM,CLL
SANRE,339,N,PE,CLLO,DE,HBUG,2022-10-31,2022-11-22,CLL|PE,HAM|DE,CLL,HAM
SANRE,339,S,CL,VARO,PE,CLLO,2022-10-14,2022-10-20,VAP|CL,CLL|PE,VAP,CLL
SANRE,339,S,PE,CLLO,CL,VARO,2022-10-21,2022-10-27,CLL|PE,VAP|CL,CLL,VAP
SANRE,347,N,GT,GALY,PE,CLLO,2022-12-19,2022-12-24,GUA|GT,CLL|PE,GUA,CLL
SANRE,347,N,PE,CLLO,PA,CLON1,2022-12-25,2022-12-30,CLL|PE,ONX|PA,CLL,ONX
SANRE,403,S,NL,RERM,PE,CLLO,2023-01-18,2023-02-09,RTM|NL,CLL|PE,RTM,CLL
SANRE,4103,N,CL,VARO,PE,CLLO,2023-02-15,2023-02-18,VAP|CL,CLL|PE,VAP,CLL
SANRE,4103,N,BE,AWEP,PE,CLLO,2023-01-19,2023-02-16,ANR|BE,CLL|PE,ANR,CLL
SANRE,4103,N,PE,CLLO,BE,AWEP,2023-02-17,2023-03-17,CLL|PE,ANR|BE,CLL,ANR
SANRE,411,S,BE,AWEP,PE,CLLO,2023-03-19,2023-04-07,ANR|BE,CLL|PE,ANR,CLL
SANRE,411,S,NL,RERM,BE,AWEP,2023-03-15,2023-03-17,RTM|NL,ANR|BE,RTM,ANR
SANRE,411,S,CL,VARO,PE,CLLO,2023-03-31,2023-04-05,VAP|CL,CLL|PE,VAP,CLL
SANRE,411,S,PE,CLLO,CL,VARO,2023-04-08,2023-04-12,CLL|PE,VAP|CL,CLL,VAP
SANRE,4119,N,AR,BSAS,CL,VARO,2023-05-28,2023-06-06,BUE|AR,VAP|CL,BUE,VAP
SANRE,4119,N,CL,VARO,PE,CLLO,2023-06-07,2023-06-11,VAP|CL,CLL|PE,VAP,CLL
SANRE,4127,N,CL,VARO,PE,CLLO,2023-08-02,2023-08-05,VAP|CL,CLL|PE,VAP,CLL
SANRE,4127,N,PE,CLLO,CA,MTRL,2023-08-06,2023-08-26,CLL|PE,MTR|CA,CLL,MTR
SANRE,4143,N,CL,VARO,PE,CLLO,2023-11-22,2023-11-25,VAP|CL,CLL|PE,VAP,CLL
SANRE,419,S,NL,RERM,PE,CLLO,2023-05-10,2023-06-01,RTM|NL,CLL|PE,RTM,CLL
SANRE,427,S,NL,RERM,PE,CLLO,2023-07-05,2023-07-27,RTM|NL,CLL|PE,RTM,CLL
SANRE,427,N,PA,CLON1,PE,CLLO,2023-08-01,2023-08-05,ONX|PA,CLL|PE,ONX,CLL
SANRE,427,N,PE,CLLO,PA,CLON1,2023-08-06,2023-08-10,CLL|PE,ONX|PA,CLL,ONX
SANRE,443,N,ES,BELA,PE,CLLO,2023-10-23,2023-11-25,BCN|ES,CLL|PE,BCN,CLL
SANRE,443,N,PE,CLLO,ES,BELA,2023-11-26,2023-12-29,CLL|PE,BCN|ES,CLL,BCN
SANRE,443,S,CL,VARO,PE,CLLO,2023-11-11,2023-11-16,VAP|CL,CLL|PE,VAP,CLL
SANRE,443,S,PE,CLLO,CL,VARO,2023-11-17,2023-11-21,CLL|PE,VAP|CL,CLL,VAP
SANRE,451,N,ES,VENA2,PE,CLLO,2023-12-27,2024-01-20,VLC|ES,CLL|PE,VLC,CLL
SANRE,451,N,PE,CLLO,ES,VENA2,2024-01-21,2024-02-14,CLL|PE,VLC|ES,CLL,VLC
SANRE,451,S,CL,VARO,PE,CLLO,2024-01-08,2024-01-11,VAP|CL,CLL|PE,VAP,CLL
SANRE,451,S,PE,CLLO,CL,VARO,2024-01-12,2024-01-15,CLL|PE,VAP|CL,CLL,VAP
SANRE,507,N,ES,VENA2,PE,CLLO,2024-02-19,2024-03-16,VLC|ES,CLL|PE,VLC,CLL
SANRE,507,N,PE,CLLO,ES,VENA2,2024-03-17,2024-04-12,CLL|PE,VLC|ES,CLL,VLC
SANRE,507,S,CL,VARO,PE,CLLO,2024-03-03,2024-03-07,VAP|CL,CLL|PE,VAP,CLL
