CodigoPuerto,CodigoPais,NombrePuerto,TipoTransporte,EsPuertoLocal,NombreAntiguo,CodAntiguo
FANE,AU,FREMANTLE,M,0,FREMANTLE,FRE
FIKD,NO,FREDRIKSTAD,M,0,FREDRIKSTAD,FRK
FRLI,IT,FORLI,M,0,FORLI,FRL
FINE,IT,FROSINONE,M,0,FROSINONE,FRO
FRAA,IT,FERRARA,M,0,FERRARA,FRR
FISN,BW,FRANCISTOWN,M,0,FRANCISTOWN,FRW
FSHN1,CN,FUSHUN,M,0,FU SHUN ,FSN
FTUA,US,FORTUNA,M,0,FORTUNA,FTQ
FAFI,TV,FUNAFUTI,M,0,FUNAFUTI,FUN
FXIN,CN,FUXIN,M,0,FUXIN,FUX
FXSE,GB,FELIXSTOWE,M,0,FELIXSTOWE,FXT
FYAG,CN,FUYANG,M,0,FUYANG,FYA
GZHU,CN,GAIZHOU,M,0,GAIZHOU,GAI
GOYO,CN,GAOYAO,M,0,GAOYAO,GAY
GORE,BW,GABORONE,M,0,GABORONE,GBE
GBOC,US,"GREENSBORO,NC",M,0,"GREENSBORO, NC",GBO
GLAA,MX,GUADALAJARA,A,0,GUADALAJARA,GDL
GANK,PL,GDANSK,M,0,GDANSK,GDN
GYNA,PL,GDYNIA,M,0,GDYNIA,GDY
GERA,DE,GERA,M,0,GERA,GEA
GKIN,DE,GELSENKIRCHEN,M,0,GELSENKIRCHEN,GEK
GGEN,GY,GEORGETOWN,M,0,GEORGETOWN,GEO
GLSS,PH,GENERALSANTOS,M,0,GENERAL SANTOS,GES
GALR,GI,GIBRALTAR,M,0,GIBRALTAR,GIB
RJAO,BR,RIODEJANIERO,A,0,RIO DE JANIERO,GIG
GJON,ES,GIJON,M,0,GIJON,GIJ
GSGW,GB,GLASGOW,M,0,GLASGOW,GLW
GNOA,IT,GENOVA,M,0,GENOVA,GOA
GMIG,CN,GAOMING,M,0,GAOMING,GOM
GENG,SE,GOTHENBURG,M,0,GOTHENBURG,GOT
GROA,ES,GERONA,M,0,GERONA,GRO
GSSO,IT,GROSSETO,M,0,GROSSETO,GRS
GULS,BR,GUARULHOS,A,0,GUARULHOS,GRU
GNAA,ES,GRANADA,M,0,GRANADA,GRX
GRAZ,AT,GRAZ,M,0,GRAZ,GRZ
GLAA1,ES,GUADALAJARA,M,0,GUADALAJARA,GUA
GEMA,GT,GUATEMALA,A,0,GUATEMALA,GUA
GALY,GT,GUATEMALACITY,M,0,GUATEMALA CITY,GUA
GGAG,CN,GUIGANG,M,0,GUIGANG,GUG
GUAM,GU,GUAM,M,0,GUAM,GUM
AOTU,PG,ALOTAU,M,0,ALOTAU,GUR
GNEE,CH,GENEVE,M,0,GENEVE,GVA
GAQL,EC,GUAYAQUIL,A,0,GUAYAQUIL,GYE
GIZA,IT,GORIZIA,M,0,GORIZIA,GZA
HDEA,IL,HADERA,M,0,HADERA,HAD
HGEN,DE,HAGEN,M,0,HAGEN,HAG
RHAA,DO,RIOHAINA,M,0,RIO HAINA,HAI
HNOR,DE,HANNOVER,M,0,HANNOVER,HAJ
HIKU,CN,HAIKOU,M,0,HAIKOU,HAK
HIFX,CA,HALIFAX,M,0,Halifax,HAL
HLLE,DE,HALLE,M,0,HALLE,HAL
HBUO,DE,HAMBURGO,A,0,HAMBURGO,HAM
HBUG,DE,HAMBURG,M,0,HAMBURG,HAM
HNOI,VN,HANOI,M,0,HANOI,HAN
HTIS,NZ,HASTINGS,M,0,HASTINGS,HAS
LABA,CU,LAHABANA,M,0,LA HABANA,HAV
HBAT,AU,HOBART,M,0,HOBART,HBA
BALB,EG,BURJALARAB,M,0,BURJ AL ARAB,HBE
HNDN,CN,HANDAN,M,0,HAN DAN ,HDX
HRNE,DE,HERNE,M,0,HERNE,HEE
HELG,DE,HEIDELBERG,M,0,HEIDELBERG,HEI
HSII,FI,HELSINKI,M,0,HELSINKI,HEL
HNGG,SE,HELSINGBORG,M,0,HELSINGBORG,HEL
HBRN,DE,HEILBRONN,M,0,HEILBRONN,HEN
HIFA,IL,HAIFA,M,0,HAIFA,HFA
HFEI,CN,HEFEI,M,0,HEFEI,HFE
HGZU,CN,HANGZHOU,M,0,HANGZHOU,HGH
HSHA,JP,HIROSHIMA,M,0,HIROSHIMA,HIJ
HESM,DE,HILDESHEIM,M,0,HILDESHEIM,HIL
HNIG,CN,HAINING,M,0,HAINING,HIN
HGSI,CN,HENGSHUI,M,0,HENGSHUI,HIS
HGKG,HK,HONGKONG,A,0,HONG KONG,HKG
HUDO,CN,HULUDAO,M,0,HULUDAO,HLO
HILN,NZ,HAMILTON,M,0,HAMILTON,HLZ
HIMN,CN,HAIMEN,M,0,HAIMEN,HME
HAMM,DE,HAMM,M,0,HAMM,HMM
HMEN,CN,HUMEN,M,0,HUMEN,HMN
HMIA,FI,HAMINA,M,0,HAMINA,HMN
HOSO,MX,HERMOSILLO,M,0,HERMOSILLO,HMO
HNLA,FI,HAMEENLINNA,M,0,HAMEENLINNA,HMY
HGYG,CN,HENGYANG,M,0,HENGYANG,HNY
HEIH,YE,HODEIDAH,M,0,HODEIDAH,HOD
HSTN,US,HOUSTON,A,0,HOUSTON,HOU
HTOX,US,HOUSTONTX,M,0,HOUSTON TX,HOU
HPHG,VN,HAIPHONG,M,0,HAIPHONG,HPH
"H,WG",CN,"HUANGPU,WUCHONG",M,0,"HUANGPU, WUCHONG",HPU
HRBN,CN,HARBIN,M,0,HARBIN,HRB
HRAE,ZW,HARARE,M,0,HARARE,HRE
HGSN,CN,HUANGSHAN,M,0,HUANGSHAN,HSH
HNGI,CN,HUANGSHI,M,0,HUANGSHI,HSI
HSHN,CN,HESHAN,M,0,HESHAN,HSN
HKAA,JP,HAKATA,M,0,HAKATA,HTD
HNGU,CN,HUANGPU,M,0,HUANGPU,HUA
HCHN,CN,HUNCHUN,M,0,HUNCHUN,HUC
HESA,ES,HUESCA,M,0,HUESCA,HUC
HZHU,CN,HUIZHOU,M,0,HUIZHOU,HUI
HUEX,VN,HUE,M,0,HUE,HUI
HELA,ES,HUELVA,M,0,HUELVA,HUV
HRAD,IN,HYDERABAD,M,0,HYDERABAD,HYD
HNGN,CN,HUANGYAN,M,0,HUANGYAN,HYN
HZHG,CN,HANZHONG,M,0,HANZHONG,HZG
HZHU1,CN,HUZHOU,M,0,HUZHOU,HZH
IIZA,ES,IBIZA,A,0,IBIZA,IBZ
NDEI,IN,NEWDELHI,M,0,NEW DELHI,ICD
KIEV,UA,KIEV,M,0,KIEV,IEV
ILOX,PE,ILO,M,1,ILO,ILQ
IBAI,JP,IMABARI,M,0,IMABARI,IMB
IERA,IT,IMPERIA,M,0,IMPERIA,IMP
ICHN,KR,INCHON,A,0,INCHON,INC
IHEN,KR,INCHEON,M,0,INCHEON,INC
IPON,US,"INDIANAPOLIS,IN",M,0,"INDIANAPOLIS, IN",IND
ILST,DE,INGOLSTADT,M,0,INGOLSTADT,ING
IBRK,AT,INNSBRUCK,M,0,INNSBRUCK,INN
IIQE,CL,IQUIQUE,A,0,IQUIQUE,IQQ
IMAD,PK,ISLAMABAD,M,0,ISLAMABAD,ISB
IRNA,IT,ISERNIA,M,0,ISERNIA,ISE
IAIA,EG,ISMAILIA,M,0,ISMAILIA,ISM
IANL,TR,ISTANBUL,M,0,ISTANBUL,IST
IGUI,BR,ITAGUAI,M,0,ITAGUAI,ITG
IAJI,BR,ITAJAI,M,0,ITAJAI,ITJ
ICAL,NZ,INVERCARGILL,M,0,INVERCARGILL,IVC
IMIR,TR,IZMIR,M,0,IZMIR,IZM
JAEN,ES,JAEN,M,0,JAEN,JAE
JNVL,US,JACKSONVILLEFL,M,0,JACKSONVILLE FL,JAX
JDEN,CN,JINGDEZHEN,M,0,JINGDEZHEN,JDZ
JELI,AE,JEBELALI,M,0,JEBEL ALI,JEA
JENA,DE,JENA,M,0,JENA,JEN
NNFT,US,NEWYORK-JOHNF.KENNEDYAPT,A,0,NEW YORK-JOHN F. KENNEDY APT,JFK
JNHA,CN,JINHUA,M,0,JINHUA,JHA
JNGN,CN,JIANGYIN,M,0,JIANGYIN,JIA
DBOI,DJ,DJIBOUTI,M,0,DJIBOUTI,JIB
JDIG,CN,JIADING,M,0,JIADING,JIG
JLIN,CN,JILIN,M,0,JILIN,JIL
JXIG,CN,JIAXING,M,0,JIAXING,JIX
JJIG,CN,JIUJIANG,M,0,JIUJIANG,JJG
JARA,ID,JAKARTA,M,0,JAKARTA,JKT
JNGN1,CN,JIANGMEN,M,0,JIANGMEN,JMN
JMUI,CN,JIAMUSI,M,0,JIAMUSI,JMU
JNEG,ZA,JOHANNESBURG,A,0,JOHANNESBURG,JNB
JNIG,CN,JINING,M,0,JINING,JNN
JZHU,CN,JINZHOU,M,0,JINZHOU,JNZ
JNSU,FI,JOENSUU,M,0,JOENSUU,JOE
JROG,CN,JURONG,M,0,JURONG,JRG
JOXN,CN,JIAOXIN,M,0,JIAOXIN,JXN
JSKA,FI,JYVASKYLA,M,0,JYVASKYLA,JYV
JOZU,CN,JIAOZHOU,M,0,JIAO ZHOU,JZH
JZHU1,CN,JIUZHOU,M,0,JIUZHOU,JZU
KAAI,FI,KAJAANI,M,0,KAJAANI,KAJ
KSSL,DE,KASSEL,M,0,KASSEL,KAS
KIEL,DE,KIEL,M,0,KIEL,KEL
